"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/it_mg_breda_38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda modello 38";"Breda Mod. 38";"布\t雷\t达 38 型\t机\t枪";"ブレダ Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda modello 38";"브레다 38형";"Breda Mod. 38";"Breda mod. 38";"布\t雷\t達 38 型\t機\t槍";"布\t雷\t达 38 型\t机\t枪";"Breda Mod. 38";;
"decals/it_mg_breda_38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda modello 38";"Breda Mod. 38";"布\t雷\t达 38 型\t机\t枪";"ブレダ Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda Mod. 38";"Breda modello 38";"브레다 38형";"Breda Mod. 38";"Breda mod. 38";"布\t雷\t達 38 型\t機\t槍";"布\t雷\t达 38 型\t机\t枪";"Breda Mod. 38";;
"attachables/mac_31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31 机\t枪";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31 機\t槍";"MAC 31 机\t枪";"MAC 31";;
"decals/mac_31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31 机\t枪";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31";"MAC 31 機\t槍";"MAC 31 机\t枪";"MAC 31";;
"attachables/fr_mas_36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS 36";"MAS-36";"MAS 36 步\t枪";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS 36 步\t槍";"MAS-36 步\t枪";"MAS-36";;
"decals/fr_mas_36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS 36";"MAS-36";"MAS 36 步\t枪";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS-36";"MAS 36 步\t槍";"MAS-36 步\t枪";"MAS-36";;
"attachables/fr_mas_38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS 38";"MAS-38";"MAS 38 冲\t锋\t枪";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS 38 衝\t鋒\t槍";"MAS-38 冲\t锋\t枪";"MAS-38";;
"decals/fr_mas_38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS 38";"MAS-38";"MAS 38 冲\t锋\t枪";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS-38";"MAS 38 衝\t鋒\t槍";"MAS-38 冲\t锋\t枪";"MAS-38";;
"attachables/christmas_wreath";"Christmas Wreath";"Couronne de Noël";"Corona Natalizia";"Weihnachtskranz";"Corona de Navidad";"Рождественский венок";"Duch Świąt";"Vánoční věnec";"Yılbaşı Çelengi";"圣\t诞\t花\t环";"クリスマスリース";"Grinalda de Natal";"Різдвяний вінок";"Christmas Wreath";"Karácsonyi koszorú";"크리스마스 화환";"Калядны вянок";"Coroană de Crăciun";"聖\t誕\t花\t環";"圣\t诞\t花\t环";"Vòng hoa Giáng sinh";;
"attachables/stalingrad_sword";"Sword of Stalingrad";"Épée de Stalingrad";"Spada di Stalingrado";"Schwert von Stalingrad";"Espada de Estalingrado";"Меч Сталинграда";"Miecz Stalingradu";"Meč od Stalingradu";"Stalingrad Kılıcı";"斯\t大\t林\t格\t勒\t之\t剑";"スターリングラードの\t剣";"Espada de Stalingrado";"Меч Сталінграда";"Sword of Stalingrad";"Sztálingrád Kardja";"스탈린그라드의 검";"Меч Сталінграда";"Sabia Stalingradului";"史\t達\t林\t格\t勒\t之\t劍";"斯\t大\t林\t格\t勒\t之\t剑";"Thanh gươm của Stalingrad";;
"attachables/round_shield";"Round Shield";"Bouclier rond, 1 pièce";"Scudo tondo";"Rundschild, 1 Stk.";"Escudo Circular";"Круглый щит";"Okrągła tarcza";"Kulatý štít";"Yuvarlak Kalkan";"圆\t盾";"丸盾";"Escudo Redondo";"Круглий щит";"Round Shield";"Kerek pajzs";"둥근 방패";"Круглы шчыт 1 шт.";"Scut rotund";"圓\t盾";"圆\t盾\t（1 份）";"Khiên tròn";;
"attachables/param/maxSurfaceAngle";"Decorator can be installed on a surface with a slope of not more than {value}°";"Les décorations peuvent être placés sur une surface avec une inclinaison maximale de {value}°";"Decorazione che può essere installata su una superficie con angolazione inferiore a {value}°";"Dekorationen können auf einer Oberfläche mit einer Neigung von nicht mehr als {value}° installiert werden";"El decorador puede instalarse en una superficie con una inclinación no superior a {value}°";"Декоратор может быть установлен на поверхность с углом наклона не более {value}°";"Dekoracja może zostać zamontowana na powierzchni o kącie nachylenia nie większym niż {value}°";"Doplněk lze umístit na povrch se sklonem menším než {value}°";"Bu dekorasyon {value}° derece eğimden fazla olmayan bir yüzeye yerleştirilebilir";"允\t许\t放\t置\t装\t饰\t挂\t件\t的\t最\t大\t角\t度\t为 {value}°";"デコレーターは、\t{value}°以下の\t斜面上にのみ\t設置できます";"A decoração não pode ser colocada numa superfície com mais de {value}º de inclinação";"Декоратор може бути встановлений на поверхню з кутом нахилу не більше {value}°";"Decorator can be installed on a surface with a slope of not more than {value}°";"Maximum {value}°-os dőlésszögű felületre helyezhető fel";"경사도 {value}° 미만의 표면에만 장식을 부착할 수 있습니다";"Дэкаратар можа быць усталяваны на паверхню з вуглом нахілу не больш за {value}°";"Ornamentele pot fi plasate pe o suprafață cu o înclinare maximă de {value}°";"允\t許\t放\t置\t裝\t飾\t掛\t件\t的\t最\t大\t角\t度\t為 {value}°";"允\t许\t放\t置\t装\t饰\t挂\t件\t的\t最\t大\t角\t度\t为 {value}°";"Vật trang trí có thể được lắp đặt lên bề mặt với độ dốc không quá {value}°";;
"attachables/ppd_3438";"PPD 34/38";"PPD 34/38";"PPD 34/38";"PPD 34/38";"PPD 34/38";"ППД обр. 1934/38";"PPD 34/38";"PPD 34/38";"PPD 34/38";"PPD 34/38 冲\t锋\t枪";"PPD 34/38";"PPD 34/38";"ППД обр. 34/38";"PPD 34/38";"PPD-34/38";"PPD 34/38";"ППД узора 1934/38";"PPD 34/38";"PPD 34/38 衝\t鋒\t槍";"PPD 34/38 冲\t锋\t枪";"PPD 34/38";;
"attachables/beretta_38";"Beretta Model 38";"Beretta Model 38";"M.A.B. Mod.38";"Beretta Modell 38";"Beretta Model 38";"Beretta Model 38";"Beretta Model 38";"Beretta model 38";"Beretta Model 38";"贝\t瑞\t塔 1938 型\t冲\t锋\t枪";"Beretta Model 38";"Beretta Model 38";"Beretta Model 38";"Beretta Model 38";"Beretta Modello 38";"베레타 모델 38";"Beretta Model 38";"Beretta model 38";"貝\t瑞\t塔 1938 型\t沖\t鋒\t槍";"贝\t雷\t塔 1938 型\t冲\t锋\t枪";"Beretta Model 38";;
"attachables/m50_Reising";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"M50 雷\t兴\t冲\t锋\t枪";"Reising M50";"Reising M50";"Reising M50";"Reising M50";"M50 Reising";"Reising M50";"Reising M50";"Reising M50";"M50 雷\t興\t沖\t鋒\t槍";"M50 雷\t兴\t冲\t锋\t枪";"Reising M50";;
"attachables/owen_machine_carbine";"Owen Machine Carbine";"Fusil mitrailleur Owen";"Owen Machine Carbine";"Owen-Maschinenpistole";"Carabina Owen";"Owen Machine Carbine";"Karabin Maszynowy Owen";"Owen";"Owen Makineli Karabina";"欧\t文\t卡\t宾\t机\t枪";"オーウェン・マシンカービン";"Submetralhadora Owen";"Карабін Owen Machine";"Owen Machine Carbine";"Owen-géppisztoly";"오웬 기관단총";"Owen Machine Carbine";"Carabina lui Owen";"歐\t文\t卡\t賓\t機\t槍";"欧\t文\t卡\t宾\t机\t枪";"Súng tiểu liên Owen";;
"attachables/mcculloch_47";"Chainsaw";"Tronçonneuse";"Motosega";"Kettensäge";"Motosierra";"Бензопила";"Piła łańcuchowa";"Motorová pila";"Elektrikli Testere";"电\t锯";"チェーンソー";"Motosserra";"Бензопила";"Chainsaw";"Láncfűrész";"전기톱";"Бензопила";"Fierăstrău";"電\t鋸";"电\t锯";"Cưa";;
"attachables/mg_m60";"Machine gun, 7.62 mm, M60";"Mitrailleuse M60 de 7.62 mm";"Mitragliatrice M60 da 7.62mm";"Maschinengewehr 7,62 mm M60";"Ametralladora M60 de 7.62 mm";"Machine gun, 7.62 mm, M60";"Karabin maszynowy M60 kal. 7,62 mm";"MG M60";"Makineli tüfek, 7.62 mm, M60";"7.62 毫\t米\t机\t枪 M60";"機関銃、\t7.62 mm、\tM60";"Metralhadora, 7.62 mm, M60";"7,62-мм кулемет, M60";"Machine gun, 7.62 mm, M60";"M60";"7.62 mm M60 기관총";"Machine gun, 7.62 mm, M60";"Mitralieră, 7,62 mm, M60";"7.62 毫\t米\t機\t槍 M60";"7.62 毫\t米\t机\t枪 M60";"Súng máy, 7.62 mm, M60";;
"attachables/fifa_cup";"Super Cup";"Super Coupe";"Super Coppa";"Super Cup";"Super Copa";"Кубок";"Zwycięski Puchar";"Super pohár";"Süper Kupa";"冠\t军\t奖\t杯";"スーパーカップ";"Supercopa";"Суперкубок";"Super Cup";"UEFA-szuperkupa";"슈퍼 컵";"Кубок";"Super Cupa";"冠\t軍\t獎\t杯";"冠\t军\t奖\t杯";"Siêu cúp";;
"attachables/cannibal_axe";"Cannibal Axe";"Hache de cannibale";"Ascia da Cannibale";"Kannibalenaxt";"Hacha de caníbal";"Топор людоеда";"Topór kanibala";"Kanibalská sekera";"Yamyam Baltası";"杀\t人\t斧\t头";"人食いの\t斧";"Machado Canibal";"Сокира людожера";"Cannibal Axe";"Kannibálfejsze";"카니발 도끼";"Топор людоеда";"Topor canibal";"殺\t人\t斧\t頭";"杀\t人\t斧\t头";"Rìu ăn thịt người";;
"attachables/golden_ball";"Golden Ball";"Ballon d'or";"Pallone D'Oro";"Goldener Ball";"Balón de Oro";"Золотой мяч";"Złota piłka";"Zlatý balón";"Altın Top";"黄\t金\t足\t球";"ゴールデンボール";"Bola de Ouro";"Золотий м'яч";"Golden Ball";"Aranylabda";"황금 공";"Золотой мяч";"Mingea de aur";"黃\t金\t足\t球";"黄\t金\t足\t球";"Quả bóng vàng";;
"attachables/golden_boot";"Golden Boot";"Chaussure d’or";"Scarpino D'Oro";"Goldener Stiefel";"Bota de Oro";"Золотая бутса";"Złoty but";"Zlatá bota";"Altın Ayakkabı";"黄\t金\t球\t鞋";"ゴールデンブーツ";"Bota de Ouro";"Золота бутса";"Golden Boot";"Aranycipő";"황금 부츠";"Золотая бутса";"Gheata de aur";"黃\t金\t球\t鞋";"黄\t金\t球\t鞋";"Giày vàng";;
"attachables/golden_glove";"Golden Glove";"Gant d'or";"Guanto D'Oro";"Goldener Handschuh";"Guante de Oro";"Золотая перчатка";"Złota rękawica";"Zlatá rukavice";"Altın Eldiven";"黄\t金\t手\t套";"ゴールデングローブ";"Luva dourada";"Золота рукавичка";"Golden Glove";"Aranykesztyű";"황금 장갑";"Золотая перчатка";"Mănușa de aur";"黃\t金\t手\t套";"黄\t金\t手\t套";"Găng tay vàng";;
"attachables/silver_ball";"Silver Ball";"Balle d'argent";"Palla d'Argento";"Silberner Ball";"Balón de Plata";"Серебряный мяч";"Srebrna Piłka";"Sříbrný balón";"Gümüş Top";"白\t银\t足\t球";"シルバーボール";"Bola de Prata";"Срібний м'яч";"Silver Ball";"Ezüstlabda";"은빛 공";"Серебряный мяч";"Silver Ball";"白\t銀\t足\t球";"Silver Ball";"Quả bóng bạc";;
"attachables/silver_boot";"Silver Boot";"Botte d'argent";"Scarpino d'Argento";"Silberner Schuh";"Bota de Plata";"Серебряная бутса";"Srebrny But";"Stříbrná bota";"Gümüş Ayakkabı";"白\t银\t球\t鞋";"シルバーブーツ";"Bota de Prata";"Срібна бутса";"Silver Boot";"Ezüstcsizma";"은빛 부츠";"Серебряная бутса";"Silver Boot";"白\t銀\t球\t鞋";"Silver Boot";"Giày bạc";;
"attachables/silver_glove";"Silver Glove";"Gant d'argent";"Guanto d'Argento";"Silberner Handschuh ";"Guante de Plata";"Серебряная перчатка";"Srebrna Rękawica";"Sříbrná rukavice";"Gümüş Eldiven";"白\t银\t手\t套";"シルバーグローブ";"Luva de Prata";"Срібна рукавичка";"Silver Glove";"Ezüstkesztyű";"은빛 글러브";"Серебряная перчатка";"Silver Glove";"白\t銀\t手\t套";"Silver Glove";"Găng tay bạc";;
"attachables/type98_shin_gunto_set";"""1938 (Type 98) Officer Gendaito""";"""Gendaito d'Officier 1938 (type 98)""";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendaito""";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"„Shin guntō typ 98 (1938)”";"""1938 (typ 98) důstojnické gendaito""";"""1938 (Tip 98) Subay Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」\t（二本刀）";"""Gendaito Oficial de 1938 (Tipo 98)""";"""1938 (тип 98) Офіцер Гендайто""";"""1938 (Type 98) Officer Gendaito""";"98-as típusú tiszti kard (1938)";"98식 군도";"""1938 (Type 98) Officer Gendaito""";"„Ofițer Gendaito 1938 (Tip 98)”";"九\t八\t式\t軍\t刀";"九\t八\t式\t军\t刀";"""1938 (Type 98) Officer Gendaito""";;
"attachables/type98_shin_gunto_triad";"""1938 (Type 98) Officer Gendaito""";"""Gendaito 1938 (type 98)""";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendaito""";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"Miecz oficerski 1938 Gendaito (Typ 98)";"""1938 (typ 98) důstojnické gendaito""";"""1938 (Tip 98) Subay Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」\t（三刀流）";"""Gendaito Oficial de 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";"98-as típusú tiszti kard (1938)";"98식 군도";"""1938 (Type 98) Officer Gendaito""";"„Ofițer Gendaito 1938 (Tip 98)”";"九\t八\t式\t軍\t刀";"九\t八\t式\t军\t刀";"""1938 (Type 98) Officer Gendaito""";;
"attachables/type98_shin_gunto_quad";"""1938 (Type 98) Officer Gendaito""";"""Gendaito d'officier 1938 (type 98)""";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendaito""";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"Miecz oficerski 1938 Gendaito (Typ 98)";"""1938 (typ 98) důstojnické gendaito""";"""1938 (Type 98) Officer Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」\t（四振り）";"""1938 (Type 98) Officer Gendaito""";"""1938 (тип 98) Офіцер Гендайто""";"""1938 (Type 98) Officer Gendaito""";"98-as típusú tiszti kard (1938)";"98식 군도";"""1938 (Type 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";"九\t八\t式\t軍\t刀";"九\t八\t式\t军\t刀";"""1938 (Type 98) Officer Gendaito""";;
"attachables/type98_shin_gunto_star";"""1938 (Type 98) Officer Gendaito""";"Gendaito d'Officier 1938 (Type 98)";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendai-tō""";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"Miecz oficerski 1938 Gendaito (Typ 98)";"""1938 (typ 98) důstojnické gendaito""";"""1938 (Type 98) Officer Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」\t（五の\t型）";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (тип 98) Офіцер Гендайто""";"""1938 (Type 98) Officer Gendaito""";"98-as típusú tiszti kard (1938)";"98식 군도";"""1938 (Type 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";"九\t八\t式\t軍\t刀";"""1938 (Type 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";;
"attachables/type98_shin_gunto_six";"""1938 (Type 98) Officer Gendaito""";"Gendaito d'Officier 1938 (Type 98)";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendai-tō""";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"„1938 (Type 98) Officer Gendaito”";"""1938 (Typ 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」\t（六角形）";"""1938 (Type 98) Officer Gendaito""";"«Офіцерський меч Гендайто, 1938 (тип 98)»";"""1938 (Type 98) Officer Gendaito""";"98-as típusú tiszti kard (1938)";"98식 군도";"""1938 (Type 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";"九\t八\t式\t軍\t刀";"""1938 (Type 98) Officer Gendaito""";"""1938 (Type 98) Officer Gendaito""";;
"attachables/rgd_33_pack";"RGD-33";"RGD-33";"RGD-33";"RGD-33";"RGD-33";"РГД-33";"RGD-33";"RGD-33";"RGD-33";"RGD-33 手\t榴\t弹";"RGD-33";"RGD-33";"РГД-33";"RGD-33";"RGD-33";"RGD-33";"РГД-33";"RGD-33";"RGD-33 手\t榴\t彈";"RGD-33 手\t榴\t弹";"RGD-33";;
"attachables/akm_47";"Assault rifle";"Fusil d'assaut";"Fucile d'assalto";"Sturmgewehr";"Rifle de asalto";"Автомат";"Karabin szturmowy";"Útočná puška";"Taarruz tüfeği";"苏\t联\t突\t击\t步\t枪";"アサルトライフル";"Espingarda de Assalto";"Автомат";"Assault rifle";"Gépkarabély";"돌격소총";"Автомат";"Pușcă de asalt";"突\t擊\t步\t槍\t（AKM）";"突\t擊\t步\t槍";"Súng trường tấn công ";;
"attachables/mg_42";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3 机\t枪";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3";"MG 3 機\t槍";"MG 3 机\t枪";"MG 3";;
"attachables/headset";"Intercom headset (USSR)";"Casque Intercom (URSS)";"Interfono (URSS)";"Intercom Kopfhörer (UdSSR)";"Casco intercomunicador (URSS)";"Шлемофон (СССР)";"Hełmofon (ZSRR)";"Komunikační sada (SSSR)";"Intercom kulaklık (SSCB)";"苏\t联\t坦\t克\t帽\t（含\t通\t信\t系\t统）";"インターコム・ヘッドセット (ソ\t連)";"Headset intercomunicador (URSS)";"Шоломофон (СРСР)";"Intercom headset (USSR)";"Szovjet fejbeszélő";"인터컴 헤드셋 (소련)";"Шлемофон (СССР)";"Căști cu interfon (URSS)";"蘇\t聯\t坦\t克\t帽\t（含\t通\t信\t系\t統）";"苏\t联\t坦\t克\t帽\t（含\t通\t信\t系\t统）";"Tai nghe liên lạc nội bộ (USSR)";;
"attachables/road_sign_tankers_day";"Military Road Sign Traffic";"Panneau de signalisation routière militaire";"Segnale di Traffico Strada Militare";"Militärisches Straßenverkehrsschild";"Señal de Tránsito de Carretera Militar";"Военный дорожный знак — трафик";"Znak drogowy – ruch pojazdów wojskowych";"Vojenská dopravní značka";"Askeri Yol Trafik İşareti";"军\t事\t交\t通\t路\t标";"軍事道路交通標識";"Sinal de Trânsito de Estrada Militar";"Військовий дорожній знак — трафік";"Military Road Sign Traffic";"Katonai útjelzőtábla";"군사도로 표지판";"Военный дорожный знак — трафик";"Military Road Sign Traffic";"軍\t事\t路\t標";"Military Road Sign Traffic";"Biển báo giao thông quân sự";;
"attachables/helmet_1938";"Tank helmet (Japan)";"Casque de tankiste (Japon)";"Elmetto Carrista (Giappone)";"Panzerhelm (Japan)";"Casco de tanquista (Japón)";"Танковый шлем образца 1938 года (Япония)";"Hełm czołgisty (Japonia)";"Japonská tanková přilba";"Tankçı kaskı (Japonya)";"日\t本\t陆\t军\t战\t车\t帽";"戦車用\tヘルメット (日本)";"Capacete de tripulação (Japão)";"Танковий шолом зразка 1938 року (Японія)";"Tank helmet (Japan)";"Japán harckocsizó sisak";"전차병 헬멧 (일본)";"Танковый шлем образца 1938 года (Япония)";"Cască tanchist (Japonia)";"日\t本\t陸\t軍\t戰\t車\t帽";"战\t车\t帽";"Nón kíp lái (Nhật Bản)";;
"attachables/helmet_m35";"Tank helmet M35 (Italy)";"Casque de tankiste M35 (Italie)";"Elmetto carrista M35 (Italia)";"Panzerhelm M35 (Italien)";"Casco de tanquista M35 (Italia)";"Танковый шлем М35 (Италия)";"Hełm czołgisty M35 (Włochy)";"Italská tanková přilba M35";"M33 tankçı kaskı (İtalya)";"意\t大\t利 35 型\t装\t甲\t兵\t头\t盔";"戦車用\tヘルメット M35 (イタリア)";"Capacete de tripulação M35 (Itália)";"Танковий шолом М35 (Італія)";"Tank helmet M35 (Italy)";"Olasz M35 harckocsizó sisak";"M35 전차병 헬멧 (이탈리아)";"Танковый шлем М35 (Италия)";"Cască tanchist M35 (Italia)";"意\t大\t利 35 型\t裝\t甲\t兵\t頭\t盔";"35 型\t装\t甲\t兵\t头\t盔";"Nón kíp lái M35 (Ý)";;
"attachables/helmet_wz35";"Tank helmet MLE35 (France)";"Casque de tankiste MLE35 (France)";"Elmetto Carrista Mle.35 (Francia)";"Panzerhelm MLE35 (Frankreich)";"Casco de tanquista MLE35 (Francia)";"Танковый шлем MLE35 (Франция)";"Hełm czołgisty MLE35 (Francja)";"Francouzská tanková přilba MLE35";"MLE35 tankçı kaskı (Fransa)";"法\t国 35 型\t装\t甲\t兵\t头\t盔";"戦車用\tヘルメット MLE35 (フランス)";"Capacete de tripulação MLE35 (França)";"Танковий шолом MLE35 (Франція)";"Tank helmet MLE35 (France)";"Francia Mle 35 harckocsizó sisak";"MLE35 전차병 헬멧 (프랑스)";"Танковый шлем MLE35 (Франция)";"Cască tanchist MLE35 (Franța)";"法\t國 35 型\t裝\t甲\t兵\t頭\t盔";" 35 型\t装\t甲\t兵\t头\t盔";"Nón kíp lái MLE35 (Pháp)";;
"helmet_1938/name";"Tank helmet (Japan)";"Casque de tankiste (Japon)";"Elmetto Carrista (Giappone)";"Panzerhelm (Japan)";"Casco de tanquista (Japón)";"Танковый шлем образца 1938 года (Япония)";"Hełm czołgisty (Japonia)";"Japonská tanková přilba";"Tankçı kaskı (Japonya)";"日\t本\t陆\t军\t战\t车\t帽";"戦車用\tヘルメット (日本)";"Capacete de tripulação (Japão)";"Танковий шолом зразка 1938 року (Японія)";"Tank helmet (Japan)";"Japán harckocsizó sisak";"전차병 헬멧 (일본)";"Танковый шлем образца 1938 года (Япония)";"Cască tanchist (Japonia)";"日\t本\t陸\t軍\t戰\t車\t帽";"陆\t军\t战\t车\t帽";"Nón kíp lái (Nhật Bản)";;
"helmet_m35/name";"Tank helmet M35 (Italy)";"Casque tankiste M35 (Italie)";"Elmetto Carrista M35 (Italia)";"Panzerhelm M35 (Italien)";"Casco de tanquista M35 (Italia)";"Танковый шлем М35 (Италия)";"Hełm czołgisty M35 (Włochy)";"Italská tanková přilba M35";"M33 tankçı kaskı (İtalya)";"意\t大\t利 35 型\t装\t甲\t兵\t头\t盔";"戦車用\tヘルメット M35 (イタリア)";"Capacete de tripulação M35 (Itália)";"Танковий шолом М35 (Італія)";"Tank helmet M35 (Italy)";"Olasz M35 harckocsizó sisak";"전차병 헬멧 M35 (이탈리아)";"Танковый шлем М35 (Италия)";"Cască tanchist M35 (Italia)";"意\t大\t利 35 型\t裝\t甲\t兵\t頭\t盔";" 35 型\t装\t甲\t兵\t头\t盔";"Nón kíp lái M35 (Ý)";;
"helmet_wz35/name";"Tank helmet MLE35 (France)";"Casque de tankiste MLE35 (France)";"Elmetto Carrista Mle.35 (Francia)";"Panzerhelm MLE35 (Frankreich)";"Casco de tanquista MLE35 (Francia)";"Танковый шлем MLE35 (Франция)";"Hełm czołgisty MLE35 (Francja)";"Francouzská tanková přilba MLE35";"MLE35 tankçı kaskı (Fransa)";"法\t国 35 型\t装\t甲\t兵\t头\t盔";"戦車用\tヘルメット MLE35 (フランス)";"Capacete de tripulação MLE35 (França)";"Танковий шолом MLE35 (Франція)";"Tank helmet MLE35 (France)";"Francia Mle 35 harckocsizó sisak";"전차병 헬멧 MLE35 (프랑스)";"Танковый шлем MLE35 (Франция)";"Cască tanchist MLE35 (Franța)";"法\t國 35 型\t裝\t甲\t兵\t頭\t盔";"35 型\t装\t甲\t兵\t头\t盔";"Nón kíp lái MLE35 (Pháp)";;
"attachables/fn_mag";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN zásobník";"FN MAG";"FN MAG 机\t枪";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG";"FN MAG 機\t槍";"FN MAG 机\t枪";"FN MAG";;
"attachables/round_lion_shield";"Round Shield (Lion)";"Bouclier rond (Lion)";"Scudo rotondo (Leone)";"Rundschild (Löwe)";"Escudo Redondo (León)";"Круглый щит (Лев)";"Okrągła tarcza (lew)";"Kulatý štít (Lev)";"Yuvarlak Kalkan (Aslan)";"圆\t盾\t（狮\t子）";"丸盾 (ライオン)";"Escudo redondo (Leão)";"Круглий щит (Лев)";"Round Shield (Lion)";"Kerek pajzs (oroszlán)";"원형 방패 (사자)";"Круглый щит (Лев)";"Scut rotund (Leu)";"圓\t盾\t（獅\t子）";"圆\t盾\t（狮\t子）";"Khiên tròn (Sư tử)";;
"attachables/celtic_shield";"Gallic Shield";"Bouclier gaulois";"Scudo Celtico";"Gallischer Schild";"Escudo Galo";"Галльский щит";"Galijska tarcza";"Galský štít";"Galya Kalkanı";"高\t卢\t盾\t牌";"ガリアの\t盾";"Escudo Celta";"Гальський щит";"Gallic Shield";"Gall pajzs";"프랑스 풍 방패";"Галльский щит";"Gallic Shield";"高\t盧\t盾\t牌";"Gallic Shield";"Khiên Gallic";;
"attachables/dp_27";"DP-27";"DP-27";"DP-27";"DP-27";"DP-27";"ДП-27";"DP-27";"DP-27";"DP-27";"DP-27 机\t枪";"DP-27";"DP-27";"ДП-27";"DP-27";"DP-27";"DP-27";"ДП-27";"DP-27";"DP-27 機\t槍";"DP-27 机\t枪";"DP-27";;
